text,ground_truth,hunter_pred
"Muscle aches and weakness in neck, arms, shoulders, upper back, legs.
",1,1
"Severe pain in left foot and third and fourth toes.
",1,1
"Pain and weakness increased until I needed help dressing and combing my hair.
",1,1
"I could not do daily activities such as pick up a cup of coffee or put on a seatbelt without significant pain.
",1,0
"The ball of my left foot was so painful I could not put pressure on it when walking so I walked on the side of my foot.
",1,1
"Symptoms began 12 weeks after starting Lipitor.
",0,0
"I reported to my cardiologist and internist who both denied problems were related to Lipitor because my CPK was only mildly elevated (250).
",0,0
"I also saw a podiatrist, chiropractor, and spine specialist with no relief.
",0,0
"When it got so bad I could not take it anymore and did not care about my cholesterol I took myself off of Lipitor and got a 50% improvement after one week.
",0,0
"I then saw a neurologist who diagnosed me with statin induced myalgia.
",0,1
"He said he sees a lot of patients with slightly elevated CPK that many physicians do not recognized as a symptom of a statin intolerance.
",1,0
"I have been off of Lipitor for two years and continue to improve very slowly, but I still suffer from some pain and weakness.
",1,1
"I can now walk normal, but my toes are still quite painful at times.
",0,1
"I have taken Lipitor for 4 years with no problems - lowered my cholesterol.
",0,0
"Insurance co. has decided I need a generic Pravachol.
",0,0
"In just two weeks, I feel achy, muscle fatigue, memory loss.
",0,1
"I don't think insurance co. should have the say on what medicines I take.
",0,0
"insomnia, muscle aches.
",1,1
"It's 1:00am, taking 10 mg, haven't slept in over a week.
",1,0
"Plan to stop taking Lipitor tomorrow.
",0,0
"It did lower my cholesterol tho.
",0,0
"Alopecia, nausea, vomiting, severe back and hip pain, depression, dark thoughts, overwhelming exhaustion and muscle fatigue, sleeplessness, facial paralysis, loss of quality of life.
",1,1
"Have been on Lipitor for approx.
2 1/2 years.
",0,0
"Within 5 months experienced alopecia, which I had never had before and excused as stress related.
",1,1
"Nausea and vomiting began several months later, if taken within a 3-4 hours of eating.
",1,1
"Then within a year of being on the medication, I experienced severe facial paralysis diagnosed as Bell's Palsey.
",1,1
"Severe hip and back pain followed, along with depression, thoughts of suicide and paranoia.
",1,1
"The overwhelming exhaustion that I felt every morning for over a year intensified.
",1,1
"I have tried altering when I take Lipitor but it did not help with the nausea.
",1,1
"I stopped taking the Lipitor 45 days ago after I began to experience hair loss again.
",1,1
"I researched Lipitor in a pharmacy book and realized hair loss, along with most of my other ailments, were side effects.
",1,1
"I started noticing improvement during the first 30 days.
",0,0
"At 45 days, my facial paralysis is 99% gone, I wake rested, my back and hip pain are slowly improving and my overall mental wellbein.
",1,1
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.
",1,1
"i had to keep dropping into a crouched position due to the severity of the lower abdominal pain.
",1,1
"i was put on this medication because i was taking such high doses of Advil to quell the inflammation in my neck and back muscles that it caused me to have a GI bleed.
",1,1
"but after this little episode, and after reading that it can cause heavy menstrual bleeding, i highly doubt this drug is the best fit for my problem!!
",1,1
"i already have anemia due to the gastric bleed.
",1,1
"how could my doctor not think of this?
",0,0
"i'm also starting to feel dizzy and light headed, and can feel acidic bile at the back of my throat.
",1,1
"great!!
",0,0
":|.
",0,0
"Achilles Tendonsitis, foot pain, weakness in upper arm muscles, severe knee pain, gas, arthritis like symptoms in hands, swelling of ankles, shin pain, increased fatigue and occasional leg cramps.
",1,1
"Until I found this site I could not understand why.
",0,0
"muscle pain related to shoulders.
",1,1
"Absolutely none!.
",0,0
"I was originally taking 150mg per day, but cut it to 100mg because the lesser dose seemed to work as well.
",0,0
"My internist had urged me to take Vioxx, Celebrx and Bextra (at different times, of course), but the relief I experienced was not as dramatic as the Cataflam.
",0,0
"My orthopaedic surgeon prescribes the Cataflam.
",0,0
"It has a slight effect on my blood pressure, but, since my pressure is usually low, that is not considered a health risk.
",1,0
"Lower gut pain, diahrrea.
",1,1
"This is the only NSAID I've ever taken that gave me discernable relief within 90 minutes of taking it.
",1,0
"Gastrointestinal problems were due largely to my taking the drug too close together, or after having consumed large amounts of alcohol.
",1,1
"None identified.
",0,0
"Currently taking 20 mg/day.
",0,0
Has reduced LDL and total cholesterol effectively (latter to ca.,0,0
100),0,0
", but HDL is still low.
",0,0
"I am female, age 55 and generally in good health.
",0,0
"No smoking or drinking and work daily.
",0,0
"Wt is 15 lbs more than it should be.
",0,0
"Cholesterol has been high for years despite diet.
",0,0
"Taking 40mg daily for 1 year, took 20mg previously.
",0,0
"Lately I realized everything hurts.
",1,1
"It crept up on me.
",0,0
"I am an RN and still did not put it together until this week when I decided something is not right.
",0,0
"When the aches and pains were mild I thought it was arthritis or too much activity.
",1,1
"Stopped the Lipitor and the generalized aches and pains are fading after just 3 days.
",1,1
"Will explore other options but these drugs have not been around long enough to confirm long term effects.
",0,0
"Looking at this site, I will begin to ask my patients that are on statins about their history.
",0,0
"It either caused or gave me peripheral neuropathy in my hands, arms, feet and legs.
",0,1
"And it damaged my liver.
",1,1
"No one should ever take a statin.
",0,0
"It should be taken off the market.
",0,0
"Eczema on hands and feet, rash on upper left torso, depression.
",1,1
"Cholesterol at 312.
",0,0
"Stopped taking after 6 days and depression lifted a few days later.
",1,1
"Took 2 weeks for eczema outbreak to subside.
",1,1
"Started taking an herbal cholesterol formula by Dr Sinatra and eating oatmeal everyday.
8 weeks after stopping lipitor was retested and cholesterol dropped to 255.
obviously not from lipitor but from changes in diet and supplements.
",0,0
"doc want to try lower dosage but i am hesitant.
",0,0
"i'm staying on new diet and supplements for now.
",0,0
"retest in 30 days to see how effective.
",0,0
"trying to avoid statins at all cost.
",0,0
"doc is very insistant, almost as if he's getting a kickback.
",0,0
"we'll see.
",0,0
"NONE.
",0,0
