id,text,label,normalized_text,meta_doc_drugs,final_pred
7ae17390-c79e-4683-8659-59f1d4b56143,"This report suggests that anemia can occur due to MMF, in particular when it is given with prednisone, a side effect well documented in the transplantation literature when the triple combination of MMF, cyclosporine and prednisone is used.",1,"This report suggests that anemia can occur due to mycophenolate mofetil, in particular when it is given with prednisone, a side effect well documented in the transplantation literature when the triple combination of mycophenolate mofetil, cyclosporine and prednisone is used.",this drug,0
d720bb6f-39d7-4676-a807-cab15f6030c9,"OBJECTIVE: To describe the management of tumor lysis syndrome (TLS) with rasburicase in 2 patients who presented with cancer within the first month of life and compare and contrast both cases with respect to their underlying renal physiology, management, and eventual outcome.",0,"OBJECTIVE: To describe the management of tumor lysis syndrome (TLS) with rasburicase in 2 patients who presented with cancer within the first month of life and compare and contrast both cases with respect to their underlying renal physiology, management, and eventual outcome.",this drug,0
cc8e38ea-93be-4be4-8b42-06344dd5a8c6,Unusual side-effects due to clobazam: a case report with genetic study of CYP2C19.,0,Unusual side-effects due to clobazam: a case report with genetic study of cytochrome P450 2C19.,this drug,1
0d1eab0f-643d-4ce7-bfdf-3b28ce6e6d40,Procainamide-induced incessant supraventricular tachycardia in the Wolff-Parkinson-White syndrome.,1,Procainamide-induced incessant supraventricular tachycardia in the Wolff-Parkinson-White syndrome.,this drug,1
a2b64184-487e-4eac-8a1f-827dd02073ed,Carbamazepine-induced tics.,1,Carbamazepine-induced tics.,this drug,1
784611fc-7850-4b3e-b8f1-9479ab3f7f91,"Treatment with local antibiotics was initiated but the condition of the eye worsened, ultimately resulting in corneal perforation.",0,"Treatment with local antibacterials was initiated but the condition of the eye worsened, ultimately resulting in corneal perforation.",this drug,1
a0312e02-40be-43bf-92bb-52a2a93cd27a,There was initial clinical deterioration while in vitro data indicating that the organism was sensitive to vancomycin with a minimum inhibitory concentration of 0.5 micrograms/ml.,0,There was initial clinical deterioration while in vitro data indicating that the organism was sensitive to vancomycin with a minimum inhibitory concentration of 0.5 micrograms per millilitre.,this drug,0
af2762bf-d48e-4fe5-bf8b-d8067aded8be,Computed brain tomography was normal.,0,Computed brain tomography was normal.,this drug,0
f4e469f5-8c6f-4e7f-a666-0e9edb6eb079,Many past cases of SMON have occurred in Japan but since 1975 no new cases have been reported.,0,Many past cases of Subacute Myelo-Optic Neuropathy (SMON) have occurred in Japan but since 1975 no new cases have been reported.,this drug,0
7816e786-84c4-4631-94cb-d8f685c4b7a1,"During clarithromycin coadministration, four out of the seven patients developed moderate-to-severe toxic symptoms of carbamazepine, such as drowsiness, dizziness, and ataxia, which resolved within 5 days after clarithromycin discontinuation.",1,"During clarithromycin coadministration, four out of the seven patients developed moderate-to-severe toxic symptoms of carbamazepine, such as somnolence, lightheadedness, and ataxia, which resolved within 5 days after clarithromycin discontinuation.",this drug,0
15c4c55e-83ce-4542-addf-0547bec0902a,DISCUSSION: The occurrence of priapism in our patient was related to zuclopenthixol.,1,DISCUSSION: The occurrence of priapism in our patient was related to zuclopenthixol.,this drug,1
577ae816-494a-4ca9-98d1-6c7408908c2b,Gabapentin-induced mood changes with hypomanic features in adults.,1,Gabapentin-induced mood changes with hypomanic features in adults.,this drug,1
7b8922bb-6df5-4d51-849e-56ff1e309b85,A 55-year-old woman received 2 cycles of therapy with cisplatin 100 mg/m2 without difficulty.,0,A 55-year-old woman received 2 cycles of therapy with cisplatin 100 milligrams per square meter without difficulty.,this drug,0
0e4e58d3-b8c9-402e-b767-7199f6cfec74,No life-threatening situations occurred and the patient fully recovered.,0,No life-threatening situations occurred and the patient fully recovered.,this drug,0
17cddbea-d57b-4d1c-a934-2fe6a01b0561,Intraventricular vancomycin-induced cerebrospinal fluid eosinophilia: report of two patients.,1,Intraventricular vancomycin-induced cerebrospinal fluid eosinophilia: report of two patients.,this drug,1
cdb57027-6b80-4d7c-b2aa-eeabf1784641,Benefit from this was limited and a course of intra-arterial urokinase was instituted.,0,Benefit from this was limited and a course of intra-arterial urokinase was instituted.,this drug,0
f979da2e-9eff-411b-bd73-bfc5f4798d5c,At 12 months there was no evidence of recurrence though new nodular BCCs and SBCCs had developed elsewhere on his upper torso.,0,"At 12 months, there was no evidence of recurrence, although new nodular basal cell carcinomas (BCCs) and squamous cell carcinomas (SBCCs) had developed elsewhere on his upper torso.",this drug,1
714d6fdf-d262-45b8-9eb3-4327698537f7,"METHOD: Case report and review of the current literature concerning radiation-induced, secondary, space-occupying lesions.",0,"METHOD: Case report and review of the current literature concerning radiation-induced, secondary, space-occupying lesions.",this drug,0
1166610a-fed7-4a48-9b8d-962b129818f5,Termination of pregnancy resulted in dramatic improvement in airflow.,0,Termination of abortion resulted in dramatic improvement in lung function.,this drug,0
040f2698-13a5-4c10-a332-2ff82cd65de4,"He had previously failed induction therapy with cyclophosphamide, vincristine, adriamycin, and dexamethasone, but achieved complete remission after melphalan therapy.",0,"He had previously failed induction therapy with cyclophosphamide, vincristine, doxorubicin, and dexamethasone, but achieved complete remission after melphalan therapy.",this drug,0
6a8765ca-2299-40d7-9f7e-931ceae6d1f7,Cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole.,1,Cholestatic liver disease with ductopenia (vanishing bile duct syndrome) after administration of clindamycin and trimethoprim-sulfamethoxazole.,this drug,1
98b1e9e4-8fe0-4d52-b85e-9e891c56a7fb,No severe local side effects were observed.,0,No severe local side effects were observed.,this drug,0
06427695-08d9-408f-9708-e761517a2ca9,"We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.",1,"We describe the clinical response, as determined by increases in total haemoglobin and decreased transfusion needs, in five patients with thalassaemia intermedia treated with hydroxycarbamide alone or in combination with succinobisphosphate.",this drug,0
3e0ffa11-4fb7-4766-9d42-fa197e7f0ca8,"She received an accidental 450-mg bolus injection of morphine intrathecally and developed hypertension, status epilepticus, intracerebral hemorrhage, and respiratory failure.",1,"She received an accidental 450-mg bolus injection of morphine intrathecally and developed hypertension, status epilepticus, intracerebral haemorrhage, and respiratory failure.",this drug,1
6a3f5e71-decd-440d-9490-f9ea9029f32d,A study of nineteen immunocompromised patients with extensive skin lesions caused by Pseudomonas aeruginosa with and without bacteremia.,0,A study of nineteen immunocompromised patients with extensive skin lesions caused by Pseudomonas aeruginosa with and without bacteremia.,this drug,0
d34caa93-3e91-4689-aa2a-82e3de60f9e8,Antimicrobial susceptibility results determined by a modified proportion method using a 3-day incubation were the same as those determined by the standard 3-week assay.,0,Antimicrobial susceptibility results determined by a modified proportion method using a 3-day incubation were the same as those determined by the standard 3-week assay.,this drug,0
a2b12629-4f75-4bf3-8791-ea931b4f30d8,Acute renal failure most likely was secondary to the nephrotoxic effect of captopril on chronically hypoperfused kidneys.,1,Acute renal failure most likely was secondary to the nephrotoxic effect of Angiotensin Converting Enzyme inhibitor (captopril) on chronically hypoperfused kidneys.,this drug,1
6fc7478c-182a-41b3-9be7-8b54c805906a,CONCLUSIONS: Bosentan may significantly decrease the anticoagulant properties of warfarin.,0,CONCLUSIONS: Bosentan may significantly decrease the anticoagulant properties of warfarin.,this drug,0
cb734e54-841e-4b08-be3a-b0970ed7723e,We report a case of a woman with ectopic pregnancy with fetal cardiac activity after ovulation induction and transvaginal intratubal insemination by tactile sensation.,0,We report a case of a woman with ectopic pregnancy with fetal cardiac activity after ovulation induction and transvaginal intracervical insemination by tactile sensation.,this drug,0
eab7f71a-814d-4e4f-8eac-a7fbf61cbc1d,Fungal entities should be considered in the differential diagnosis.,0,Fungal entities should be considered in the differential diagnosis.,this drug,0
ab78261f-1ec6-44dc-880c-4703608928dc,The patient described feeling cold with worsening headache and chills approximately one hour after infusion of the first dose of penicillin.,1,The patient described feeling cold with worsening headache and chills approximately one hour after infusion of the first dose of penicillin.,this drug,1
0295a7f4-b229-4d18-9f38-ae0ecc3de0f9,Nephrogenic diabetes insipidus and renal tubular acidosis secondary to foscarnet therapy.,1,Nephrogenic diabetes insipidus and renal tubular acidosis secondary to foscarnet therapy.,this drug,1
4465777f-6b58-4988-881a-61ae8f7e9293,Torsade de pointes associated with moxifloxacin: a rare but potentially fatal adverse event.,1,Torsade de pointes associated with moxifloxacin: a rare but potentially fatal adverse event.,this drug,1
321f0803-fb44-4074-a339-5c268e3bf4bc,RESULTS: Glycopyrrolate successfully treated intraoperative penile erection.,0,RESULTS: Glycopyrrolate successfully treated intraoperative priapism.,this drug,0
34e3a622-ac8a-4cb6-89b5-1d58cefd8a2f,"The response to surgical drainage and antimicrobial therapy was dramatic in both dogs, but one dog experienced a drug reaction to trimethoprim-potentiated sulfonamide.",0,"The response to surgical drainage and antibacterial therapy was dramatic in both canines, but one canine experienced an adverse reaction to trimethoprim-potentiated sulfonamide.",this drug,0
9ba21e28-3df2-438f-9d61-0a3139d4f1d6,"Although it has been reported previously in patients being treated for lymphoma, it occurred in this case in a man under treatment for glomerulonephritis.",0,"Although it has been reported previously in patients being treated for lymphoma, it occurred in this case in a man under treatment for glomerulonephritis.",this drug,0
dfce0cd3-28bc-4abd-a6e6-c67e918c7f15,A 32-year-old woman experienced ischemic stroke attributed to concomitant administration of a cough and cold preparation containing methylephedrine and a supplement containing Chinese herbal drugs.,0,A 32-year-old woman experienced ischemic stroke attributed to concomitant administration of a cough and cold preparation containing methylephedrine and a supplement containing Chinese herbal drugs.,this drug,0
db5ad1d8-a4fb-4189-b717-d7bf872d97d6,"A patient with recessive generalized congenital myotonia and severe, disabling weakness underwent various forms of treatment while being monitored electrophysiologically.",0,"A patient with recessive generalized congenital myotonia and severe, disabling weakness underwent various forms of treatment while being monitored electrophysiologically.",this drug,0
327b3cd6-c445-4ba3-a6f6-4faddcee0e83,METHODS: Four solid organ transplant patients with severe hypoxemic P. jiroveci pneumonia were treated with the combination of trimethoprim-sulfametoxazole and caspofungin.,0,METHODS: Four solid organ transplant patients with severe hypoxemic Pneumocystis jirovecii pneumonia were treated with the combination of trimethoprim-sulfamethoxazole and caspofungin.,this drug,0
a965affe-ff3f-405d-b8a0-1d26f89ee92f,"However, he had an acute onset of chest pain with fever which happened 4 h after PCI.",0,"However, he had an acute onset of chest pain with fever which occurred 4 hours after percutaneous coronary intervention.",this drug,0
3e569b9e-f9da-451a-be43-e0ddffc75029,"Ganciclovir resistance was suspected to be caused by both A594V of UL97 and Q578H of UL54, whereas foscarnet resistance was due mainly to Q578H of UL54.",0,"Ganciclovir resistance was suspected to be caused by both A594V of UL97 and Q578H of UL54, whereas foscarnet resistance was due mainly to Q578H of UL54.",this drug,0
1decac53-e024-47dc-b1f0-2854f0736880,"After the patient discontinued the use of the glucocorticoid eyedrops, his cushingoid features gradually faded, and his blood pressure and serum glucose levels normalized.",0,"After the patient discontinued the use of the glucocorticoid eyedrops, his cushingoid features gradually faded, and his blood pressure and serum glucose levels normalized.",this drug,1
ae998a93-4639-4991-b4ca-a481df2278d8,Trans-catheter hepatic arterial injection of lipiodol soluble anti-cancer agent SMANCS and ADR suspension in lipiodol combined with arterial embolization and local hyperthermia for treatment of hepatocellular carcinoma.,0,Trans-catheter hepatic arterial injection of lipiodol-soluble anti-cancer agent SMANCS and ADR suspension in lipiodol combined with arterial embolization and local hyperthermia for treatment of hepatocellular carcinoma.,this drug,0
bec7975f-2177-4498-b5b8-5b4d88b49add,Atenolol induced memory impairment: a case report.,1,Atenolol-induced memory impairment: a case report.,this drug,1
7ed28a93-6e61-4336-8587-a81d2e0a1578,It must be considered as a potential source of cerebral hemorrhage in elderly patients undergoing thrombolysis for cardiac ischemia.,0,It must be considered as a potential source of cerebral haemorrhage in elderly patients undergoing thrombolysis for cardiac ischaemia.,this drug,1
e7520d6f-50b0-4b8b-8a4f-1a1b6780157a,"This case agrees with the evidence that cisapride potentiates the release of acetylcholine from postganglionic cholinergic nerves in the human isolated detrusor by activating 5-HT4 receptors, i.e. through the same mechanism responsible for its gastrointestinal prokinetic action.",0,"This case agrees with the evidence that cisapride potentiates the release of acetylcholine from postganglionic cholinergic nerves in the human isolated detrusor by activating 5-HT4 receptors, i.e. through the same mechanism responsible for its gastrointestinal prokinetic action.",this drug,0
5d78552a-8be5-40e9-a3d6-c666964cc25b,Finally a renal biopsy was performed and it showed a pauci-immunologic glomerulonephritis and the bronchioloalveolar lavage confirmed the diffuse alveolar hemorrhage.,0,Finally a renal biopsy was performed and it showed a pauci-immunologic glomerulonephritis and the bronchoalveolar lavage confirmed the diffuse alveolar haemorrhage.,this drug,1
63b48835-64c0-42dc-b59f-de8416803302,We conclude that prolonged l-asparaginase therapy in combination with an anthracycline might well be used in initial or consolidation therapy for childhood ALL.,0,We conclude that prolonged L-asparaginase therapy in combination with an anthracycline might well be used in initial or consolidation therapy for childhood acute lymphoblastic leukemia.,this drug,0
ec636326-73a5-43d1-a717-8b5868af0c1e,A novel approach to central venous catheter thrombosis in a patient with cystic fibrosis.,0,A novel approach to central venous catheter thrombosis in a patient with cystic fibrosis.,this drug,0
9734adfd-f124-4d7c-b6e5-43cdd4332718,Autopsy evidence of herpesvirus infection was found in visceral organs of four leukemic patients who had received large doses of cytarabine (cytosine arabinoside; Ara-C) shortly before their death.,1,Autopsy evidence of herpesvirus infection was found in visceral organs of four leukemic patients who had received large doses of cytarabine (cytosine arabinoside; Ara-C) shortly before their death.,this drug,0
82be7bd6-da0d-46cd-ab62-3187426538f2,CONCLUSIONS: Serious lead poisoning continues to occur and there appears to be complacency regarding the hazard posed by lead paint in old houses.,0,Serious lead intoxication persists and there appears to be complacency regarding the hazard posed by lead-based paint in antiquated dwellings.,this drug,0
e30a0e6b-0968-4dc1-a0c7-e2ecd741fba6,Amoebic disease precipitated by corticosteroids prescribed for tuberculous pleural effusions.,0,Amoebic disease precipitated by corticosteroids prescribed for tuberculous pleural effusions.,this drug,1
887e0a59-0d17-42ed-ba24-5db8305e84e5,"Since herpesvirus has been shown to survive in the hot tub environment, herpes simplex should be considered as another potential cause of disease in the spa setting.",0,"Since herpesvirus has been shown to survive in the hot tub environment, herpes simplex should be considered as another potential cause of disease in the spa setting.",this drug,0
ee69b98c-2a0a-44ff-abc5-38550f5d7d6e,About 45% of the total body amount can be extracted through a 3-h course of hemodialysis with resultant improvement in symptoms.,0,About 45% of the total body amount can be extracted through a 3-hour course of haemodialysis with resultant improvement in symptoms.,this drug,0
f6e4eb80-602a-454d-bdb5-612268946aad,Pregnancy limits the therapeutic options for managing thrombocytopenia which occurs in 5% of patients on heparin.,0,Pregnancy limits the therapeutic options for managing thrombocytopenia which occurs in 5% of patients on heparin.,this drug,0
eb798b96-db9b-455a-9765-3a6e1e48b157,"Acyclovir, an antiviral nucleoside analogue, is a widely used agent highly specific for herpes simplex and varicella-zoster viruses.",0,"Acyclovir, an antiviral nucleoside analogue, is a widely used agent highly specific for herpes simplex and varicella-zoster viruses.",this drug,0
f58d4bb7-29e0-4762-b802-e55162d34a37,A 72-year-old woman with a history of thyrotoxicosis presented with sore throat and fever two weeks after starting carbimazole.,1,A 72-year-old woman with a history of thyrotoxicosis presented with sore throat and fever two weeks after starting carbimazole.,this drug,1
